mvir,mvir_p,mvir_m,cvir,cvir_p,cvir_m,methods,z,cl,refs
5.4,0.9,-0.9,3.8,0.9,-0.9,X-ray,0.003,Virgo,MC99.1
3.87,3.096,-3.096,1.35,1.08,-1.08,CM,0.003,Virgo,RI06.1
0.19,0.15200000000000002,-0.15200000000000002,11.41,9.128,-9.128,CM,0.0031,NGC 4636,RI06.1
0.59,0.472,-0.472,10.95,8.76,-8.76,CM,0.006,NGC 5846,RI06.1
0.375,0.011,-0.011,11.1,0.3,-0.3,X-ray,0.009,NGC 5044,GA06.1
4.1125,0.375,-0.375,12.412500000000001,2.265,-2.265,LOSVD,0.01,Abell 1060,WO10.1
11.525,1.44,-1.44,13.985,3.08,-3.08,X-ray,0.01,Abell 1060,BA14.1
4.4750000000000005,1.05,-1.05,23.0,16.0,-16.0,LOSVD,0.01,Abell 1060,LO06.1
9.97,0.58,-0.58,13.8775,1.0950000000000002,-1.0950000000000002,X-ray,0.011,Abell 3526,BA14.1
0.311,0.014,-0.014,17.0,1.0,-1.0,X-ray,0.0124,NGC 1550,GA06.1
2.7825,0.395,-0.395,7.635,2.23,-2.23,LOSVD,0.0139,Abell S805,WO10.1
0.263,0.078,-0.078,9.9,3.4,-3.4,X-ray,0.0149,NGC 2563,GA06.1
2.6449999999999996,0.33999999999999997,-0.33999999999999997,10.18,2.7,-2.7,LOSVD,0.0163,Abell 262,WO10.1
3.4524999999999997,0.815,-0.815,13.505,1.33,-1.33,X-ray,0.0163,Abell 262,BA14.1
2.85,1.1,-1.1,10.275000000000002,7.25,-7.25,LOSVD,0.0163,Abell 262,LO06.1
1.099,0.099,-0.099,8.8,0.7,-0.7,X-ray,0.0163,Abell 262,GA06.1
1.3,1.04,-1.04,8.3,6.640000000000001,-6.640000000000001,CM,0.018,Abell 194,RI03.1
0.229,0.012,-0.012,16.9,1.3,-1.3,X-ray,0.0185,NGC 533,GA06.1
1.8250000000000002,0.26,-0.26,8.72,2.5,-2.5,LOSVD,0.02,MKW 4,WO10.1
2.2625,2.205,-2.205,26.1675,4.154999999999999,-4.154999999999999,X-ray,0.02,MKW 4,BA14.1
0.624,0.033,-0.033,12.3,0.8,-0.8,X-ray,0.02,MKW 4,GA06.1
1.37,0.2,-0.2,5.17,0.28,-0.28,X-ray,0.02,MKW 4,VI06.1
2.59,2.072,-2.072,15.13,12.104000000000001,-12.104000000000001,CM,0.02,MKW 4,RI06.1
1.86,0.37,-0.37,8.48,3.57,-3.57,LOSVD,0.0218,Abell 3581,WO10.1
2.2875,1.535,-1.535,13.7,7.5,-7.5,X-ray,0.0218,Abell 3581,VO06.1
6.11,4.888000000000001,-4.888000000000001,21.9,17.52,-17.52,CM,0.022,Abell 1367,RI03.1
0.507,0.046,-0.046,9.5,0.8,-0.8,X-ray,0.0223,IC 1860,GA06.1
0.57,0.45599999999999996,-0.45599999999999996,5.75,4.6000000000000005,-4.6000000000000005,CM,0.0228,MKW 11,RI06.1
0.154,0.02,-0.02,14.6,2.3,-2.3,X-ray,0.023,NGC 5129,GA06.1
19.095,4.71,-4.71,3.885,1.33,-1.33,WL,0.023,Abell 1656,OK14.1
24.4675,7.605,-7.605,16.6,10.1,-10.1,WL,0.023,Abell 1656,KU07.1
11.675,5.550000000000001,-5.550000000000001,7.375,3.8499999999999996,-3.8499999999999996,WL,0.023,Abell 1656,GA09.1
63.7525,6.475,-6.475,1.9575,0.375,-0.375,X-ray,0.023,Abell 1656,BA14.1
12.9,10.32,-10.32,13.1,10.48,-10.48,CM,0.023,Abell 1656,RI03.1
13.9,4.0,-4.0,9.3,2.6762589928057556,-2.6762589928057556,LOSVD,0.023,Abell 1656,LO03.1
1.97,1.2558749999999999,-1.2558749999999999,8.0,5.1,-5.1,LOSVD,0.0233,Abell 779,AB11.1
1.5,0.24,-0.24,5.1525,1.525,-1.525,LOSVD,0.0233,Abell 779,WO10.1
2.94,2.352,-2.352,31.46,25.168000000000003,-25.168000000000003,CM,0.0233,Abell 779,RI06.1
0.26,0.20800000000000002,-0.20800000000000002,6.49,5.192,-5.192,CM,0.0257,NGC 4325,RI06.1
0.349,0.065,-0.065,11.2,1.4,-1.4,X-ray,0.0257,NGC 4325,GA06.1
0.47,0.376,-0.376,9.03,7.224,-7.224,CM,0.0264,RXC J2214.8+1350,RI06.1
0.504,0.041,-0.041,15.18,1.55,-1.55,X-ray,0.0267,RXC J2315.7-0222,DE10.1
7.52,2.29,-2.29,20.0875,4.145,-4.145,X-ray,0.0271,MKW 8,BA14.1
0.68,0.544,-0.544,7.0,5.6000000000000005,-5.6000000000000005,CM,0.0271,MKW 8,RI06.1
2.54,2.032,-2.032,9.8,7.840000000000001,-7.840000000000001,CM,0.0286,NGC 6338,RI06.1
3.76,0.55,-0.55,10.557500000000001,3.1449999999999996,-3.1449999999999996,LOSVD,0.029,Abell 539,WO10.1
9.42,1.8699999999999999,-1.8699999999999999,13.77,2.68,-2.68,X-ray,0.029,Abell 539,BA14.1
4.09,3.2720000000000002,-3.2720000000000002,19.0,15.200000000000001,-15.200000000000001,CM,0.029,Abell 539,RI03.1
9.844999999999999,1.2200000000000002,-1.2200000000000002,12.482500000000002,1.355,-1.355,X-ray,0.03,Abell 4038,BA14.1
1.45,1.16,-1.16,1.91,1.528,-1.528,CM,0.03,Abell 2197,RI06.1
15.72,2.09,-2.09,8.4125,0.345,-0.345,X-ray,0.03,Abell 2199,BA14.1
4.62,3.696,-3.696,5.39,4.312,-4.312,CM,0.03,Abell 2199,RI06.1
5.47,4.376,-4.376,9.8,7.840000000000001,-7.840000000000001,CM,0.03,Abell 2199,RI03.1
7.85,2.9,-2.9,15.425,11.25,-11.25,LOSVD,0.03,Abell 2199,LO06.1
6.0,4.800000000000001,-4.800000000000001,5.0,4.0,-4.0,LOSVD,0.03,Abell 2199,KE02.2
